                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.54125,                0.53259,                0.14971,                 0.8548,                0.86175,                0.89405,                0.46209,                 0.5308,                0.55247,                0.16297,             0.00071504,             0.00071504,             0.00071504
                     38,                0.52279,                0.53207,                0.14399,                0.89197,                0.84305,                0.89609,                0.46704,                0.52232,                0.56817,                0.15395,             0.00070404,             0.00070404,             0.00070404
                     39,                0.52747,                0.53561,                0.14958,                0.85479,                0.85864,                0.88518,                0.47556,                0.51861,                 0.5492,                0.15401,             0.00069304,             0.00069304,             0.00069304
                     40,                 0.5186,                0.52113,                0.14455,                0.87233,                0.84811,                 0.8975,                0.47705,                0.51588,                0.54964,                0.15084,             0.00068204,             0.00068204,             0.00068204
                     41,                 0.5224,                0.53534,                0.14955,                 0.8701,                0.84012,                0.88758,                0.46056,                0.51744,                0.53407,                0.15277,             0.00067104,             0.00067104,             0.00067104
                     42,                0.51968,                0.51879,                0.14702,                0.88636,                0.83333,                0.88386,                 0.4515,                0.53338,                0.53235,                0.16307,             0.00066005,             0.00066005,             0.00066005
                     43,                0.52098,                0.51955,                0.14238,                0.87257,                0.87131,                0.90088,                0.47484,                0.51894,                0.54894,                0.15675,             0.00064905,             0.00064905,             0.00064905
                     44,                0.52764,                0.51717,                0.14752,                0.87879,                0.86857,                0.90243,                0.48368,                0.50999,                0.51862,                0.14865,             0.00063805,             0.00063805,             0.00063805
                     45,                0.51541,                0.51072,                 0.1427,                0.88336,                0.86992,                0.91473,                0.49131,                0.50767,                0.51232,                0.14956,             0.00062705,             0.00062705,             0.00062705
                     46,                0.52071,                0.51262,                0.14902,                0.86754,                0.86924,                0.89689,                0.47614,                 0.5169,                0.53549,                0.15422,             0.00061605,             0.00061605,             0.00061605
                     47,                0.50915,                0.51014,                0.13839,                0.86105,                0.87659,                0.89005,                0.47658,                0.52682,                 0.5371,                0.15771,             0.00060505,             0.00060505,             0.00060505
                     48,                0.51075,                0.51068,                0.14319,                   0.88,                0.86856,                0.90825,                0.48823,                0.50514,                0.53263,                0.14819,             0.00059405,             0.00059405,             0.00059405
                     49,                0.49818,                0.49592,                0.13774,                0.88628,                0.86785,                0.90169,                0.48048,                0.51927,                0.55212,                0.15734,             0.00058305,             0.00058305,             0.00058305
                     50,                0.50198,                0.50207,                 0.1388,                0.90019,                   0.86,                0.90785,                0.49357,                0.49373,                0.52535,                0.14336,             0.00057205,             0.00057205,             0.00057205
                     51,                0.49714,                0.50666,                0.14016,                0.88778,                0.86263,                0.91496,                0.49544,                  0.506,                0.54719,                0.15371,             0.00056105,             0.00056105,             0.00056105
                     52,                0.49508,                0.49827,                0.13358,                0.89044,                0.87749,                0.90984,                0.49226,                0.51231,                0.51774,                0.15399,             0.00055006,             0.00055006,             0.00055006
                     53,                 0.4899,                 0.5058,                0.13356,                0.89875,                0.87718,                0.91433,                0.49129,                 0.4969,                0.52367,                0.14299,             0.00053906,             0.00053906,             0.00053906
                     54,                0.48397,                0.49836,                0.13458,                0.87853,                0.87994,                0.90802,                0.48988,                0.50411,                0.54855,                 0.1486,             0.00052806,             0.00052806,             0.00052806
                     55,                0.46784,                0.49949,                0.12634,                0.89205,                0.87556,                0.91173,                 0.4913,                0.49583,                0.53479,                0.14351,             0.00051706,             0.00051706,             0.00051706
                     56,                 0.4801,                0.49603,                0.13515,                0.89538,                0.86791,                0.90306,                0.49222,                0.49815,                0.51653,                0.14803,             0.00050606,             0.00050606,             0.00050606
                     57,                0.47608,                0.48713,                0.13059,                0.89655,                0.87805,                0.91543,                0.50696,                 0.4825,                0.53517,                0.14314,             0.00049506,             0.00049506,             0.00049506
                     58,                0.46674,                0.48319,                0.12626,                0.91182,                0.85772,                0.91269,                0.49211,                 0.5036,                0.53841,                0.14711,             0.00048406,             0.00048406,             0.00048406
                     59,                0.47091,                0.48998,                0.13121,                0.89054,                0.88382,                0.91345,                 0.5061,                0.49068,                  0.525,                 0.1443,             0.00047306,             0.00047306,             0.00047306
                     60,                0.46493,                0.47803,                0.12801,                0.89051,                0.89523,                0.91417,                0.49225,                0.50493,                0.52749,                0.15193,             0.00046206,             0.00046206,             0.00046206
                     61,                0.46645,                0.48492,                0.12906,                 0.9017,                0.89356,                 0.9225,                0.50517,                0.49212,                0.52227,                0.14438,             0.00045107,             0.00045107,             0.00045107
                     62,                0.45794,                0.47581,                0.12335,                0.90083,                0.89087,                0.92368,                 0.5127,                0.49156,                0.52994,                0.14556,             0.00044007,             0.00044007,             0.00044007
                     63,                0.46631,                0.47968,                0.12779,                0.89704,                0.88052,                0.91514,                0.50986,                0.48996,                0.55055,                 0.1425,             0.00042907,             0.00042907,             0.00042907
                     64,                0.45064,                0.47385,                 0.1231,                0.88736,                0.88683,                0.91811,                0.51245,                0.49005,                0.51315,                0.14094,             0.00041807,             0.00041807,             0.00041807
                     65,                0.45988,                0.46888,                0.12399,                0.91681,                0.87816,                 0.9263,                0.51213,                0.49314,                0.50802,                0.14321,             0.00040707,             0.00040707,             0.00040707
                     66,                0.45716,                0.47774,                 0.1255,                0.90901,                0.88219,                0.92724,                0.51782,                0.48164,                0.53337,                0.13955,             0.00039607,             0.00039607,             0.00039607
                     67,                0.44273,                0.47454,                0.12042,                0.91105,                0.88574,                0.92462,                0.52342,                0.48242,                0.52096,                0.13933,             0.00038507,             0.00038507,             0.00038507
                     68,                0.45474,                0.47114,                0.12336,                0.88045,                0.90877,                0.91498,                 0.4989,                0.49309,                  0.524,                0.14439,             0.00037407,             0.00037407,             0.00037407
                     69,                0.44093,                0.46895,                0.11525,                0.90573,                 0.8866,                0.91911,                0.51719,                0.47589,                0.51549,                0.13822,             0.00036307,             0.00036307,             0.00036307
                     70,                0.43478,                0.46084,                0.11584,                0.89609,                0.89213,                0.92022,                0.51215,                0.48248,                0.53198,                0.14241,             0.00035208,             0.00035208,             0.00035208
                     71,                0.44116,                0.46649,                0.11839,                0.88958,                0.89748,                0.91598,                 0.5188,                0.48265,                0.50799,                0.14397,             0.00034108,             0.00034108,             0.00034108
                     72,                0.44583,                0.46842,                0.11988,                0.89953,                0.89827,                0.91861,                0.52083,                0.47791,                 0.5312,                0.13871,             0.00033008,             0.00033008,             0.00033008
                     73,                0.43043,                0.45646,                0.11635,                0.90909,                0.89035,                0.91793,                0.52278,                0.47282,                0.53947,                0.14045,             0.00031908,             0.00031908,             0.00031908
                     74,                0.43629,                0.45593,                0.11473,                0.88333,                0.90909,                0.91955,                0.50609,                0.48504,                0.52041,                0.14482,             0.00030808,             0.00030808,             0.00030808
                     75,                0.43034,                0.45478,                0.11475,                0.90327,                0.88685,                0.92222,                 0.5158,                0.48019,                0.52176,                0.14118,             0.00029708,             0.00029708,             0.00029708
                     76,                0.42995,                0.45252,                0.11278,                0.90652,                0.88901,                0.92523,                 0.5324,                0.46575,                0.50693,                0.13583,             0.00028608,             0.00028608,             0.00028608
                     77,                0.42135,                0.44477,                0.11318,                0.89369,                 0.9073,                0.92911,                0.53304,                0.46565,                0.52652,                0.13541,             0.00027508,             0.00027508,             0.00027508
                     78,                  0.418,                0.44961,                0.11344,                0.88245,                0.90697,                0.92743,                0.51372,                0.48192,                0.51982,                0.14047,             0.00026408,             0.00026408,             0.00026408
                     79,                0.41343,                0.44275,                0.10858,                0.89739,                0.89689,                0.91672,                0.51066,                0.48402,                0.52375,                0.14216,             0.00025309,             0.00025309,             0.00025309
                     80,                0.41584,                0.44255,                0.10857,                0.90011,                0.89454,                0.92471,                0.52487,                0.47864,                0.51712,                0.14083,             0.00024209,             0.00024209,             0.00024209
                     81,                0.42435,                0.44161,                0.11274,                0.89948,                0.90615,                0.92702,                0.52545,                0.48304,                0.51193,                 0.1461,             0.00023109,             0.00023109,             0.00023109
                     82,                0.41324,                0.44254,                0.11069,                0.90657,                0.89217,                0.92522,                0.52106,                0.48191,                0.50055,                0.14326,             0.00022009,             0.00022009,             0.00022009
                     83,                0.41464,                0.43955,                0.10669,                0.90149,                0.89108,                0.91624,                0.51846,                0.49198,                0.51051,                0.14937,             0.00020909,             0.00020909,             0.00020909
                     84,                0.41149,                0.43754,                0.10907,                0.90283,                0.90042,                0.92963,                0.54173,                0.46429,                0.49606,                0.13904,             0.00019809,             0.00019809,             0.00019809
                     85,                 0.4025,                0.44493,                 0.1074,                0.90552,                0.90499,                0.92766,                0.54207,                0.46237,                0.50251,                 0.1359,             0.00018709,             0.00018709,             0.00018709
                     86,                0.40245,                0.43832,                0.10538,                0.91615,                0.90574,                0.92467,                0.53894,                0.46975,                0.50552,                0.13915,             0.00017609,             0.00017609,             0.00017609
