                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.665,                 1.1487,                 1.4679,                 1.7767,                 1.3416,                 1.4412,                0.78212,                0.71481,                0.78593,                0.35933,                  1.818,                 1.0899,                 1.5923,                 1.9298,                 1.1791,                 1.5734,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.6578,                 1.1241,                 1.4561,                 1.7803,                 1.3282,                 1.4275,                 0.7791,                0.73716,                0.79036,                0.35895,                 1.8533,                 1.0975,                 1.6184,                 1.9207,                 1.1927,                 1.5685,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.6455,                 1.1303,                 1.4582,                 1.7674,                 1.3137,                 1.4382,                0.77098,                 0.7179,                0.80039,                0.38576,                 1.7749,                 1.0627,                 1.5649,                 1.8385,                 1.1271,                 1.5118,             0.00084703,             0.00084703,             0.00084703
                     27,                  1.633,                 1.1044,                 1.4339,                 1.7688,                 1.3017,                 1.4137,                0.80479,                0.75231,                0.81463,                  0.398,                 1.7561,                 1.0449,                 1.5552,                 1.8549,                 1.0751,                 1.5247,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.6325,                 1.0874,                 1.4314,                 1.7526,                 1.2702,                  1.411,                0.81404,                0.73866,                0.80094,                0.36846,                 1.8211,                 1.0437,                 1.5843,                 1.9163,                 1.0961,                 1.5554,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.6216,                 1.0653,                 1.4304,                 1.7532,                 1.2265,                 1.4078,                0.78575,                 0.7563,                0.80738,                0.37518,                 1.8606,                 1.0764,                 1.6048,                 1.9382,                 1.1187,                 1.5838,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.6217,                 1.0769,                 1.4253,                 1.7411,                  1.267,                 1.3996,                0.77078,                0.75401,                0.81751,                0.39288,                 1.7603,                 1.0908,                 1.5438,                  1.838,                 1.1941,                 1.5163,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.6032,                 1.0625,                 1.4183,                 1.7305,                   1.25,                 1.4008,                0.80238,                0.76172,                0.83042,                0.39621,                 1.7557,                0.99618,                 1.5476,                 1.8309,                 1.0364,                 1.5134,             0.00079203,             0.00079203,             0.00079203
                     32,                  1.586,                 1.0332,                   1.41,                 1.7101,                 1.1912,                 1.3917,                 0.8412,                0.75012,                0.82884,                0.39974,                 1.7389,                 1.0171,                 1.5339,                 1.8485,                 1.0479,                 1.5313,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.5586,                 1.0119,                 1.3955,                 1.6899,                 1.1723,                 1.3828,                 0.8235,                0.77985,                0.83895,                0.41283,                  1.734,                0.97149,                 1.5292,                 1.8116,                 1.0232,                 1.5084,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.5407,                0.98395,                 1.3778,                  1.661,                 1.1414,                 1.3598,                 0.8307,                0.78545,                0.84713,                0.40963,                 1.7828,                 1.0055,                 1.5626,                 1.8107,                  1.079,                 1.5004,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.5382,                0.98041,                 1.3832,                 1.6584,                  1.146,                 1.3673,                0.81708,                0.78276,                0.84925,                0.42043,                  1.729,                0.97388,                 1.5454,                 1.8061,                 0.9884,                 1.5093,             0.00074804,             0.00074804,             0.00074804
