                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.7003,                 1.0466,                 1.3588,                 1.8809,                  1.222,                 1.2966,                0.69973,                0.66247,                0.70111,                0.32905,                 1.9395,                 1.0939,                 1.6568,                   2.04,                 1.2699,                 1.5542,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.6692,                 1.0218,                 1.3325,                  1.878,                 1.1778,                 1.2787,                0.77411,                0.66627,                0.72345,                0.32707,                 1.9504,                 1.1829,                 1.6832,                 2.0659,                 1.3693,                 1.6025,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.6539,                0.97872,                 1.3476,                  1.848,                 1.1155,                 1.2857,                0.80407,                0.71782,                0.75852,                0.34617,                 1.8841,                  1.071,                 1.6316,                 2.0079,                 1.1778,                 1.5729,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.6398,                0.98885,                 1.3142,                  1.878,                 1.1016,                  1.267,                0.74558,                0.72681,                0.77129,                 0.3579,                 1.8357,                 1.0298,                   1.61,                 1.9757,                 1.1206,                  1.543,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.6364,                0.97207,                 1.3287,                 1.8777,                 1.1118,                 1.2769,                0.72921,                0.65321,                0.71008,                0.34708,                 1.9065,                 1.1186,                 1.6583,                 2.0048,                 1.2503,                 1.5558,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.5792,                 0.9456,                 1.3091,                 1.8035,                 1.0584,                 1.2605,                0.79796,                0.68932,                0.74978,                 0.3467,                 1.8835,                0.99793,                 1.6591,                 2.0326,                 1.0846,                  1.585,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.6075,                0.95118,                 1.3106,                 1.8152,                 1.0959,                 1.2541,                0.81037,                 0.7226,                0.76788,                0.36093,                 1.9066,                 1.0825,                 1.6391,                  2.008,                 1.2097,                 1.5459,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.6012,                0.93685,                  1.311,                 1.8232,                 1.0557,                 1.2547,                0.76269,                0.67899,                0.74019,                0.37182,                 1.8254,                 1.0537,                 1.6091,                 1.9578,                 1.1747,                 1.5417,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.5882,                0.91614,                 1.3049,                 1.8013,                 1.0464,                 1.2554,                0.77663,                0.72848,                0.79963,                0.38583,                 1.8633,                0.99028,                 1.6365,                 1.9687,                 1.0951,                 1.5419,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.5571,                0.86629,                 1.2883,                 1.7899,                0.96512,                 1.2423,                0.74465,                0.71952,                0.77143,                0.36774,                 1.8262,                 1.0072,                  1.594,                 1.9729,                 1.1408,                 1.5206,             0.00077003,             0.00077003,             0.00077003
