                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5177,                 0.8723,                  1.264,                0.81423,                0.75314,                0.81108,                0.37732,                 1.8293,                 1.0413,                 1.5172,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.4959,                0.83953,                 1.2379,                0.84028,                0.73428,                0.79803,                0.38282,                 1.7908,                 1.0194,                 1.5158,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.4983,                0.84342,                 1.2549,                0.84402,                0.76266,                0.82519,                0.39491,                 1.7748,                 0.9814,                   1.51,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.4807,                0.80985,                 1.2528,                0.83989,                0.76056,                0.82629,                 0.3997,                 1.7241,                 0.9824,                 1.4857,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.4685,                0.82713,                 1.2317,                0.82721,                0.77389,                0.82499,                0.40068,                 1.7393,                 0.9856,                 1.4963,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.4379,                0.81123,                 1.2187,                0.81226,                0.78282,                0.81631,                0.39417,                 1.7657,                0.98163,                 1.5084,             0.00068204,             0.00068204,             0.00068204
                     41,                  1.472,                 0.8065,                 1.2439,                0.82978,                0.80264,                0.83706,                0.41707,                 1.7003,                0.94563,                 1.4541,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.4236,                0.78486,                 1.2128,                0.83423,                0.76876,                0.82426,                0.40868,                 1.7497,                0.97068,                 1.5003,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.4123,                0.77259,                 1.2237,                 0.8577,                0.75639,                0.80392,                0.38947,                 1.8105,                0.97475,                 1.5284,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.4084,                0.79182,                  1.218,                0.83458,                0.77423,                0.84017,                0.41691,                  1.741,                0.95593,                 1.5067,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.4149,                0.77055,                 1.2269,                0.81731,                0.77011,                0.82168,                0.40907,                 1.7795,                0.96487,                 1.5002,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.3979,                0.75576,                 1.2036,                0.82771,                0.80157,                0.86279,                0.42377,                 1.7146,                0.91122,                 1.4739,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.3847,                0.73945,                  1.186,                0.83089,                0.78344,                0.83657,                0.40518,                 1.7906,                0.92803,                 1.5156,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.3773,                0.74855,                 1.1843,                0.84957,                0.78778,                0.84133,                0.42512,                 1.7379,                0.96377,                 1.4769,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.3762,                0.73646,                 1.1928,                0.87818,                0.75829,                0.84233,                0.43114,                 1.7208,                0.94569,                 1.4824,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.3752,                0.72362,                 1.1789,                0.88013,                0.76174,                0.84097,                0.42314,                 1.7461,                0.98241,                 1.4918,             0.00057205,             0.00057205,             0.00057205
                     51,                  1.367,                0.71979,                 1.1695,                0.84113,                0.78499,                0.83862,                0.42414,                 1.7162,                0.93406,                 1.4978,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.3619,                0.72784,                  1.197,                0.84904,                0.76252,                0.82697,                0.41321,                 1.7655,                0.96888,                  1.506,             0.00055006,             0.00055006,             0.00055006
                     53,                  1.335,                0.71115,                 1.1565,                0.82828,                0.83915,                0.86919,                0.44563,                 1.7112,                 0.8943,                 1.4964,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.3037,                0.67714,                 1.1511,                0.86035,                0.80399,                0.86234,                0.43298,                 1.7308,                  0.891,                 1.5202,             0.00052806,             0.00052806,             0.00052806
